Postcode,Datum,Soort
1335,21-04-2023,Woninginbraak
1336,03-07-2023,Woninginbraak
1336,22-05-2023,Woninginbraak
1338,10-07-2023,Woninginbraak
1338,30-05-2023,Poging tot woninginbraak
1338,04-05-2023,Poging tot woninginbraak
1338,22-04-2023,Poging tot woninginbraak
1339,14-07-2023,Woninginbraak
1339,12-06-2023,Woninginbraak
1339,25-05-2023,Woninginbraak
1353,25-06-2023,Poging tot woninginbraak
1353,25-06-2023,Woninginbraak
1355,13-07-2023,Woninginbraak
1357,05-06-2023,Woninginbraak
1361,20-04-2023,Woninginbraak
1363,19-06-2023,Poging tot woninginbraak
1363,14-05-2023,Woninginbraak
1381,23-06-2023,Woninginbraak
1382,20-06-2023,Woninginbraak
1382,30-05-2023,Woninginbraak
1382,29-05-2023,Woninginbraak
1383,29-04-2023,Woninginbraak
1391,06-06-2023,Woninginbraak
1391,24-04-2023,Poging tot woninginbraak
1394,08-07-2023,Woninginbraak
1394,30-06-2023,Woninginbraak
1398,26-04-2023,Woninginbraak
1398,25-04-2023,Woninginbraak
1401,02-06-2023,Poging tot woninginbraak
1401,25-05-2023,Woninginbraak
1401,07-05-2023,Poging tot woninginbraak
1402,13-07-2023,Woninginbraak
1403,27-04-2023,Woninginbraak
1403,20-04-2023,Woninginbraak
1404,07-06-2023,Woninginbraak
1404,24-05-2023,Woninginbraak
1405,28-04-2023,Poging tot woninginbraak
1406,14-06-2023,Woninginbraak
1411,13-07-2023,Poging tot woninginbraak
1411,26-06-2023,Woninginbraak
1411,17-06-2023,Woninginbraak
1411,10-05-2023,Woninginbraak
1412,09-06-2023,Woninginbraak
1412,15-05-2023,Poging tot woninginbraak
1421,15-07-2023,Woninginbraak
1421,30-06-2023,Poging tot woninginbraak
1421,08-05-2023,Woninginbraak
1421,06-05-2023,Woninginbraak
1421,20-04-2023,Woninginbraak
1422,14-05-2023,Poging tot woninginbraak
1424,03-07-2023,Woninginbraak
1424,28-06-2023,Poging tot woninginbraak
1424,28-05-2023,Woninginbraak
1426,20-06-2023,Woninginbraak
1431,09-06-2023,Poging tot woninginbraak
1431,08-06-2023,Woninginbraak
1431,20-04-2023,Woninginbraak
1433,12-07-2023,Woninginbraak
1433,02-05-2023,Poging tot woninginbraak
1435,21-06-2023,Woninginbraak
1441,08-07-2023,Woninginbraak
1441,02-07-2023,Woninginbraak
1441,02-06-2023,Woninginbraak
1441,01-05-2023,Woninginbraak
1442,26-04-2023,Woninginbraak
1444,13-07-2023,Woninginbraak
1444,13-07-2023,Woninginbraak
1444,03-05-2023,Woninginbraak
1444,03-05-2023,Woninginbraak
1445,06-05-2023,Woninginbraak
1446,28-04-2023,Poging tot woninginbraak
1462,02-07-2023,Woninginbraak
1462,28-05-2023,Woninginbraak
1462,08-05-2023,Woninginbraak
1474,20-06-2023,Woninginbraak
1477,16-06-2023,Woninginbraak
1486,16-06-2023,Poging tot woninginbraak
1501,26-05-2023,Woninginbraak
1503,13-05-2023,Poging tot woninginbraak
1504,03-07-2023,Woninginbraak
1505,12-05-2023,Woninginbraak
1506,10-07-2023,Poging tot woninginbraak
1506,03-07-2023,Woninginbraak
1509,19-05-2023,Woninginbraak
1509,12-05-2023,Poging tot woninginbraak
1511,02-06-2023,Woninginbraak
1521,30-06-2023,Woninginbraak
1531,23-06-2023,Woninginbraak
1541,17-07-2023,Woninginbraak
1541,16-06-2023,Poging tot woninginbraak
1541,30-05-2023,Poging tot woninginbraak
1541,22-04-2023,Woninginbraak
1544,23-04-2023,Woninginbraak
1551,19-05-2023,Woninginbraak
1561,30-05-2023,Poging tot woninginbraak
1567,24-05-2023,Poging tot woninginbraak
1601,07-07-2023,Woninginbraak
1601,21-06-2023,Woninginbraak
1601,20-04-2023,Woninginbraak
1602,13-06-2023,Woninginbraak
1606,25-04-2023,Woninginbraak
1606,24-04-2023,Woninginbraak
1611,24-06-2023,Woninginbraak
1611,15-06-2023,Woninginbraak
1611,08-06-2023,Woninginbraak
1611,06-06-2023,Woninginbraak
1611,10-05-2023,Woninginbraak
1611,07-05-2023,Woninginbraak
1611,03-05-2023,Woninginbraak
1611,29-04-2023,Woninginbraak
1611,28-04-2023,Poging tot woninginbraak
1611,20-04-2023,Woninginbraak
1613,19-05-2023,Woninginbraak
1613,19-05-2023,Woninginbraak
1614,26-04-2023,Woninginbraak
